data,valor,serie,descricao
2015-01-01,3021728,20539,Concessoes de credito PF
2015-02-01,3033738,20539,Concessoes de credito PF
2015-03-01,3070866,20539,Concessoes de credito PF
2015-04-01,3070369,20539,Concessoes de credito PF
2015-05-01,3091432,20539,Concessoes de credito PF
2015-06-01,3108995,20539,Concessoes de credito PF
2015-07-01,3118097,20539,Concessoes de credito PF
2015-08-01,3142924,20539,Concessoes de credito PF
2015-09-01,3172985,20539,Concessoes de credito PF
2015-10-01,3165658,20539,Concessoes de credito PF
2015-11-01,3185470,20539,Concessoes de credito PF
2015-12-01,3228530,20539,Concessoes de credito PF
2016-01-01,3207025,20539,Concessoes de credito PF
2016-02-01,3191152,20539,Concessoes de credito PF
2016-03-01,3169659,20539,Concessoes de credito PF
2016-04-01,3149609,20539,Concessoes de credito PF
2016-05-01,3156260,20539,Concessoes de credito PF
2016-06-01,3138980,20539,Concessoes de credito PF
2016-07-01,3125455,20539,Concessoes de credito PF
2016-08-01,3124633,20539,Concessoes de credito PF
2016-09-01,3121068,20539,Concessoes de credito PF
2016-10-01,3104644,20539,Concessoes de credito PF
2016-11-01,3113774,20539,Concessoes de credito PF
2016-12-01,3116780,20539,Concessoes de credito PF
2017-01-01,3085111,20539,Concessoes de credito PF
2017-02-01,3082132,20539,Concessoes de credito PF
2017-03-01,3089526,20539,Concessoes de credito PF
2017-04-01,3081488,20539,Concessoes de credito PF
2017-05-01,3075475,20539,Concessoes de credito PF
2017-06-01,3088141,20539,Concessoes de credito PF
2017-07-01,3062988,20539,Concessoes de credito PF
2017-08-01,3061725,20539,Concessoes de credito PF
2017-09-01,3061845,20539,Concessoes de credito PF
2017-10-01,3066751,20539,Concessoes de credito PF
2017-11-01,3078605,20539,Concessoes de credito PF
2017-12-01,3103339,20539,Concessoes de credito PF
2018-01-01,3076843,20539,Concessoes de credito PF
2018-02-01,3070208,20539,Concessoes de credito PF
2018-03-01,3090092,20539,Concessoes de credito PF
2018-04-01,3099540,20539,Concessoes de credito PF
2018-05-01,3113095,20539,Concessoes de credito PF
2018-06-01,3134300,20539,Concessoes de credito PF
2018-07-01,3129787,20539,Concessoes de credito PF
2018-08-01,3161546,20539,Concessoes de credito PF
2018-09-01,3176862,20539,Concessoes de credito PF
2018-10-01,3172201,20539,Concessoes de credito PF
2018-11-01,3210680,20539,Concessoes de credito PF
2018-12-01,3263335,20539,Concessoes de credito PF
2019-01-01,3235610,20539,Concessoes de credito PF
2019-02-01,3246698,20539,Concessoes de credito PF
2019-03-01,3272242,20539,Concessoes de credito PF
2019-04-01,3271867,20539,Concessoes de credito PF
2019-05-01,3291074,20539,Concessoes de credito PF
2019-06-01,3301500,20539,Concessoes de credito PF
2019-07-01,3296089,20539,Concessoes de credito PF
2019-08-01,3332876,20539,Concessoes de credito PF
2019-09-01,3368627,20539,Concessoes de credito PF
2019-10-01,3380207,20539,Concessoes de credito PF
2019-11-01,3423180,20539,Concessoes de credito PF
2019-12-01,3475816,20539,Concessoes de credito PF
2020-01-01,3465204,20539,Concessoes de credito PF
2020-02-01,3484597,20539,Concessoes de credito PF
2020-03-01,3583277,20539,Concessoes de credito PF
2020-04-01,3584114,20539,Concessoes de credito PF
2020-05-01,3596217,20539,Concessoes de credito PF
2020-06-01,3623349,20539,Concessoes de credito PF
2020-07-01,3670793,20539,Concessoes de credito PF
2020-08-01,3742633,20539,Concessoes de credito PF
2020-09-01,3821510,20539,Concessoes de credito PF
2020-10-01,3879416,20539,Concessoes de credito PF
2020-11-01,3957987,20539,Concessoes de credito PF
2020-12-01,4021333,20539,Concessoes de credito PF
2021-01-01,4018486,20539,Concessoes de credito PF
2021-02-01,4045800,20539,Concessoes de credito PF
2021-03-01,4106923,20539,Concessoes de credito PF
2021-04-01,4127515,20539,Concessoes de credito PF
2021-05-01,4177240,20539,Concessoes de credito PF
2021-06-01,4214012,20539,Concessoes de credito PF
2021-07-01,4271865,20539,Concessoes de credito PF
2021-08-01,4346060,20539,Concessoes de credito PF
2021-09-01,4441056,20539,Concessoes de credito PF
