data,valor,serie,descricao
2015-01-01,2.94,15882,Carteira inadimplente total
2015-02-01,2.94,15882,Carteira inadimplente total
2015-03-01,2.87,15882,Carteira inadimplente total
2015-04-01,2.88,15882,Carteira inadimplente total
2015-05-01,2.98,15882,Carteira inadimplente total
2015-06-01,2.87,15882,Carteira inadimplente total
2015-07-01,2.86,15882,Carteira inadimplente total
2015-08-01,2.85,15882,Carteira inadimplente total
2015-09-01,2.89,15882,Carteira inadimplente total
2015-10-01,2.97,15882,Carteira inadimplente total
2015-11-01,3.11,15882,Carteira inadimplente total
2015-12-01,3.08,15882,Carteira inadimplente total
2016-01-01,3.08,15882,Carteira inadimplente total
2016-02-01,3.13,15882,Carteira inadimplente total
2016-03-01,3.08,15882,Carteira inadimplente total
2016-04-01,3.16,15882,Carteira inadimplente total
2016-05-01,3.14,15882,Carteira inadimplente total
2016-06-01,2.89,15882,Carteira inadimplente total
2016-07-01,2.75,15882,Carteira inadimplente total
2016-08-01,2.74,15882,Carteira inadimplente total
2016-09-01,2.76,15882,Carteira inadimplente total
2016-10-01,2.81,15882,Carteira inadimplente total
2016-11-01,2.76,15882,Carteira inadimplente total
2016-12-01,2.67,15882,Carteira inadimplente total
2017-01-01,2.74,15882,Carteira inadimplente total
2017-02-01,2.78,15882,Carteira inadimplente total
2017-03-01,2.74,15882,Carteira inadimplente total
2017-04-01,2.75,15882,Carteira inadimplente total
2017-05-01,2.76,15882,Carteira inadimplente total
2017-06-01,2.52,15882,Carteira inadimplente total
2017-07-01,2.52,15882,Carteira inadimplente total
2017-08-01,2.48,15882,Carteira inadimplente total
2017-09-01,2.46,15882,Carteira inadimplente total
2017-10-01,2.4,15882,Carteira inadimplente total
2017-11-01,2.34,15882,Carteira inadimplente total
2017-12-01,2.24,15882,Carteira inadimplente total
2018-01-01,2.33,15882,Carteira inadimplente total
2018-02-01,2.34,15882,Carteira inadimplente total
2018-03-01,2.32,15882,Carteira inadimplente total
2018-04-01,2.28,15882,Carteira inadimplente total
2018-05-01,2.26,15882,Carteira inadimplente total
