data,valor,serie,descricao
2015-01-01,5.38,21112,Inadimplência PJ
2015-02-01,5.4,21112,Inadimplência PJ
2015-03-01,5.22,21112,Inadimplência PJ
2015-04-01,5.33,21112,Inadimplência PJ
2015-05-01,5.5,21112,Inadimplência PJ
2015-06-01,5.36,21112,Inadimplência PJ
2015-07-01,5.51,21112,Inadimplência PJ
2015-08-01,5.67,21112,Inadimplência PJ
2015-09-01,5.81,21112,Inadimplência PJ
2015-10-01,5.84,21112,Inadimplência PJ
2015-11-01,6.03,21112,Inadimplência PJ
2015-12-01,6.24,21112,Inadimplência PJ
2016-01-01,6.32,21112,Inadimplência PJ
2016-02-01,6.27,21112,Inadimplência PJ
2016-03-01,6.24,21112,Inadimplência PJ
2016-04-01,6.33,21112,Inadimplência PJ
2016-05-01,6.4,21112,Inadimplência PJ
2016-06-01,6.23,21112,Inadimplência PJ
2016-07-01,6.28,21112,Inadimplência PJ
2016-08-01,6.29,21112,Inadimplência PJ
2016-09-01,6.31,21112,Inadimplência PJ
2016-10-01,6.24,21112,Inadimplência PJ
2016-11-01,6.16,21112,Inadimplência PJ
2016-12-01,6.13,21112,Inadimplência PJ
2017-01-01,6.09,21112,Inadimplência PJ
2017-02-01,6.0,21112,Inadimplência PJ
2017-03-01,5.97,21112,Inadimplência PJ
2017-04-01,5.94,21112,Inadimplência PJ
2017-05-01,6.02,21112,Inadimplência PJ
2017-06-01,5.84,21112,Inadimplência PJ
2017-07-01,5.81,21112,Inadimplência PJ
2017-08-01,5.81,21112,Inadimplência PJ
2017-09-01,5.7,21112,Inadimplência PJ
2017-10-01,5.64,21112,Inadimplência PJ
2017-11-01,5.48,21112,Inadimplência PJ
2017-12-01,5.31,21112,Inadimplência PJ
2018-01-01,5.34,21112,Inadimplência PJ
2018-02-01,5.23,21112,Inadimplência PJ
2018-03-01,5.17,21112,Inadimplência PJ
2018-04-01,5.16,21112,Inadimplência PJ
2018-05-01,5.12,21112,Inadimplência PJ
2018-06-01,5.04,21112,Inadimplência PJ
2018-07-01,5.1,21112,Inadimplência PJ
2018-08-01,5.07,21112,Inadimplência PJ
2018-09-01,5.05,21112,Inadimplência PJ
2018-10-01,5.01,21112,Inadimplência PJ
2018-11-01,4.85,21112,Inadimplência PJ
2018-12-01,4.88,21112,Inadimplência PJ
2019-01-01,4.89,21112,Inadimplência PJ
2019-02-01,4.78,21112,Inadimplência PJ
2019-03-01,4.81,21112,Inadimplência PJ
2019-04-01,4.81,21112,Inadimplência PJ
2019-05-01,4.89,21112,Inadimplência PJ
2019-06-01,4.87,21112,Inadimplência PJ
2019-07-01,4.92,21112,Inadimplência PJ
2019-08-01,4.95,21112,Inadimplência PJ
2019-09-01,5.07,21112,Inadimplência PJ
2019-10-01,5.07,21112,Inadimplência PJ
2019-11-01,5.06,21112,Inadimplência PJ
2019-12-01,5.1,21112,Inadimplência PJ
2020-01-01,5.05,21112,Inadimplência PJ
2020-02-01,5.17,21112,Inadimplência PJ
2020-03-01,5.29,21112,Inadimplência PJ
2020-04-01,5.6,21112,Inadimplência PJ
2020-05-01,5.69,21112,Inadimplência PJ
2020-06-01,5.39,21112,Inadimplência PJ
2020-07-01,5.2,21112,Inadimplência PJ
2020-08-01,4.95,21112,Inadimplência PJ
2020-09-01,4.73,21112,Inadimplência PJ
2020-10-01,4.59,21112,Inadimplência PJ
2020-11-01,4.36,21112,Inadimplência PJ
2020-12-01,4.23,21112,Inadimplência PJ
2021-01-01,4.2,21112,Inadimplência PJ
2021-02-01,4.13,21112,Inadimplência PJ
2021-03-01,4.09,21112,Inadimplência PJ
2021-04-01,4.1,21112,Inadimplência PJ
2021-05-01,4.17,21112,Inadimplência PJ
2021-06-01,4.1,21112,Inadimplência PJ
2021-07-01,4.16,21112,Inadimplência PJ
2021-08-01,4.2,21112,Inadimplência PJ
2021-09-01,4.29,21112,Inadimplência PJ
2021-10-01,4.31,21112,Inadimplência PJ
2021-11-01,4.34,21112,Inadimplência PJ
2021-12-01,4.45,21112,Inadimplência PJ
2022-01-01,4.72,21112,Inadimplência PJ
2022-02-01,4.81,21112,Inadimplência PJ
2022-03-01,4.94,21112,Inadimplência PJ
2022-04-01,5.13,21112,Inadimplência PJ
2022-05-01,5.35,21112,Inadimplência PJ
2022-06-01,5.34,21112,Inadimplência PJ
2022-07-01,5.56,21112,Inadimplência PJ
2022-08-01,5.72,21112,Inadimplência PJ
2022-09-01,5.8,21112,Inadimplência PJ
2022-10-01,5.91,21112,Inadimplência PJ
2022-11-01,5.92,21112,Inadimplência PJ
2022-12-01,6.02,21112,Inadimplência PJ
2023-01-01,6.22,21112,Inadimplência PJ
2023-02-01,6.25,21112,Inadimplência PJ
2023-03-01,6.19,21112,Inadimplência PJ
2023-04-01,6.35,21112,Inadimplência PJ
2023-05-01,6.47,21112,Inadimplência PJ
2023-06-01,6.42,21112,Inadimplência PJ
2023-07-01,6.31,21112,Inadimplência PJ
2023-08-01,6.2,21112,Inadimplência PJ
2023-09-01,6.07,21112,Inadimplência PJ
2023-10-01,6.05,21112,Inadimplência PJ
2023-11-01,5.91,21112,Inadimplência PJ
2023-12-01,5.73,21112,Inadimplência PJ
2024-01-01,5.7,21112,Inadimplência PJ
2024-02-01,5.66,21112,Inadimplência PJ
2024-03-01,5.58,21112,Inadimplência PJ
2024-04-01,5.63,21112,Inadimplência PJ
2024-05-01,5.72,21112,Inadimplência PJ
2024-06-01,5.59,21112,Inadimplência PJ
2024-07-01,5.65,21112,Inadimplência PJ
2024-08-01,5.65,21112,Inadimplência PJ
2024-09-01,5.69,21112,Inadimplência PJ
2024-10-01,5.59,21112,Inadimplência PJ
2024-11-01,5.47,21112,Inadimplência PJ
2024-12-01,5.4,21112,Inadimplência PJ
