data,valor,serie,descricao
2015-01-01,15.7,20783,Spread bancario geral
2015-02-01,16.28,20783,Spread bancario geral
2015-03-01,16.03,20783,Spread bancario geral
2015-04-01,16.75,20783,Spread bancario geral
2015-05-01,17.06,20783,Spread bancario geral
2015-06-01,17.44,20783,Spread bancario geral
2015-07-01,18.06,20783,Spread bancario geral
2015-08-01,18.33,20783,Spread bancario geral
2015-09-01,18.22,20783,Spread bancario geral
2015-10-01,18.84,20783,Spread bancario geral
2015-11-01,19.09,20783,Spread bancario geral
2015-12-01,18.21,20783,Spread bancario geral
2016-01-01,19.79,20783,Spread bancario geral
2016-02-01,20.57,20783,Spread bancario geral
2016-03-01,21.29,20783,Spread bancario geral
2016-04-01,21.99,20783,Spread bancario geral
2016-05-01,22.33,20783,Spread bancario geral
2016-06-01,22.18,20783,Spread bancario geral
2016-07-01,22.69,20783,Spread bancario geral
2016-08-01,22.94,20783,Spread bancario geral
2016-09-01,23.13,20783,Spread bancario geral
2016-10-01,23.62,20783,Spread bancario geral
2016-11-01,23.23,20783,Spread bancario geral
2016-12-01,22.33,20783,Spread bancario geral
2017-01-01,23.6,20783,Spread bancario geral
2017-02-01,23.56,20783,Spread bancario geral
2017-03-01,23.51,20783,Spread bancario geral
2017-04-01,22.02,20783,Spread bancario geral
2017-05-01,20.78,20783,Spread bancario geral
2017-06-01,20.65,20783,Spread bancario geral
2017-07-01,21.42,20783,Spread bancario geral
2017-08-01,21.29,20783,Spread bancario geral
2017-09-01,20.02,20783,Spread bancario geral
2017-10-01,20.59,20783,Spread bancario geral
2017-11-01,20.05,20783,Spread bancario geral
2017-12-01,18.76,20783,Spread bancario geral
2018-01-01,19.45,20783,Spread bancario geral
2018-02-01,20.09,20783,Spread bancario geral
2018-03-01,19.64,20783,Spread bancario geral
2018-04-01,19.4,20783,Spread bancario geral
2018-05-01,18.18,20783,Spread bancario geral
2018-06-01,17.32,20783,Spread bancario geral
2018-07-01,17.36,20783,Spread bancario geral
2018-08-01,17.12,20783,Spread bancario geral
2018-09-01,17.04,20783,Spread bancario geral
2018-10-01,17.72,20783,Spread bancario geral
2018-11-01,17.91,20783,Spread bancario geral
2018-12-01,16.72,20783,Spread bancario geral
2019-01-01,18.3,20783,Spread bancario geral
2019-02-01,18.68,20783,Spread bancario geral
2019-03-01,18.89,20783,Spread bancario geral
2019-04-01,18.99,20783,Spread bancario geral
2019-05-01,18.86,20783,Spread bancario geral
2019-06-01,19.13,20783,Spread bancario geral
2019-07-01,19.34,20783,Spread bancario geral
2019-08-01,19.5,20783,Spread bancario geral
2019-09-01,18.88,20783,Spread bancario geral
2019-10-01,18.77,20783,Spread bancario geral
2019-11-01,18.92,20783,Spread bancario geral
2019-12-01,17.88,20783,Spread bancario geral
2020-01-01,18.43,20783,Spread bancario geral
2020-02-01,18.62,20783,Spread bancario geral
2020-03-01,18.03,20783,Spread bancario geral
2020-04-01,17.05,20783,Spread bancario geral
2020-05-01,16.51,20783,Spread bancario geral
2020-06-01,15.43,20783,Spread bancario geral
2020-07-01,15.23,20783,Spread bancario geral
2020-08-01,14.78,20783,Spread bancario geral
2020-09-01,14.1,20783,Spread bancario geral
2020-10-01,14.38,20783,Spread bancario geral
2020-11-01,14.1,20783,Spread bancario geral
2020-12-01,14.26,20783,Spread bancario geral
2021-01-01,15.54,20783,Spread bancario geral
2021-02-01,15.35,20783,Spread bancario geral
2021-03-01,14.86,20783,Spread bancario geral
2021-04-01,14.93,20783,Spread bancario geral
2021-05-01,14.38,20783,Spread bancario geral
2021-06-01,14.3,20783,Spread bancario geral
2021-07-01,14.45,20783,Spread bancario geral
2021-08-01,14.3,20783,Spread bancario geral
2021-09-01,14.3,20783,Spread bancario geral
2021-10-01,15.03,20783,Spread bancario geral
2021-11-01,15.21,20783,Spread bancario geral
2021-12-01,15.65,20783,Spread bancario geral
2022-01-01,16.2,20783,Spread bancario geral
2022-02-01,16.76,20783,Spread bancario geral
2022-03-01,16.93,20783,Spread bancario geral
2022-04-01,17.27,20783,Spread bancario geral
2022-05-01,17.08,20783,Spread bancario geral
2022-06-01,17.5,20783,Spread bancario geral
2022-07-01,18.38,20783,Spread bancario geral
2022-08-01,18.54,20783,Spread bancario geral
2022-09-01,18.71,20783,Spread bancario geral
2022-10-01,19.87,20783,Spread bancario geral
2022-11-01,19.82,20783,Spread bancario geral
2022-12-01,18.81,20783,Spread bancario geral
2023-01-01,19.79,20783,Spread bancario geral
2023-02-01,20.19,20783,Spread bancario geral
2023-03-01,20.3,20783,Spread bancario geral
2023-04-01,21.29,20783,Spread bancario geral
2023-05-01,21.42,20783,Spread bancario geral
2023-06-01,21.17,20783,Spread bancario geral
2023-07-01,20.93,20783,Spread bancario geral
2023-08-01,20.6,20783,Spread bancario geral
2023-09-01,20.36,20783,Spread bancario geral
2023-10-01,19.91,20783,Spread bancario geral
2023-11-01,19.95,20783,Spread bancario geral
2023-12-01,19.47,20783,Spread bancario geral
2024-01-01,19.28,20783,Spread bancario geral
2024-02-01,19.29,20783,Spread bancario geral
2024-03-01,19.34,20783,Spread bancario geral
2024-04-01,19.06,20783,Spread bancario geral
2024-05-01,18.8,20783,Spread bancario geral
2024-06-01,18.54,20783,Spread bancario geral
2024-07-01,18.53,20783,Spread bancario geral
2024-08-01,18.46,20783,Spread bancario geral
2024-09-01,18.28,20783,Spread bancario geral
2024-10-01,18.28,20783,Spread bancario geral
2024-11-01,18.43,20783,Spread bancario geral
2024-12-01,17.62,20783,Spread bancario geral
