data,valor,serie,descricao
2015-01-01,3.69,13685,Provisao para creditos de liquidacao duvidosa
2015-02-01,3.64,13685,Provisao para creditos de liquidacao duvidosa
2015-03-01,3.61,13685,Provisao para creditos de liquidacao duvidosa
2015-04-01,3.79,13685,Provisao para creditos de liquidacao duvidosa
2015-05-01,3.8,13685,Provisao para creditos de liquidacao duvidosa
2015-06-01,3.81,13685,Provisao para creditos de liquidacao duvidosa
2015-07-01,3.93,13685,Provisao para creditos de liquidacao duvidosa
2015-08-01,4.03,13685,Provisao para creditos de liquidacao duvidosa
2015-09-01,4.0,13685,Provisao para creditos de liquidacao duvidosa
2015-10-01,4.07,13685,Provisao para creditos de liquidacao duvidosa
2015-11-01,4.22,13685,Provisao para creditos de liquidacao duvidosa
2015-12-01,4.3,13685,Provisao para creditos de liquidacao duvidosa
2016-01-01,4.44,13685,Provisao para creditos de liquidacao duvidosa
2016-02-01,4.52,13685,Provisao para creditos de liquidacao duvidosa
2016-03-01,4.53,13685,Provisao para creditos de liquidacao duvidosa
2016-04-01,4.72,13685,Provisao para creditos de liquidacao duvidosa
2016-05-01,4.78,13685,Provisao para creditos de liquidacao duvidosa
2016-06-01,4.65,13685,Provisao para creditos de liquidacao duvidosa
2016-07-01,4.68,13685,Provisao para creditos de liquidacao duvidosa
2016-08-01,4.7,13685,Provisao para creditos de liquidacao duvidosa
2016-09-01,4.7,13685,Provisao para creditos de liquidacao duvidosa
2016-10-01,4.65,13685,Provisao para creditos de liquidacao duvidosa
2016-11-01,4.61,13685,Provisao para creditos de liquidacao duvidosa
2016-12-01,4.54,13685,Provisao para creditos de liquidacao duvidosa
2017-01-01,4.59,13685,Provisao para creditos de liquidacao duvidosa
2017-02-01,4.46,13685,Provisao para creditos de liquidacao duvidosa
2017-03-01,4.47,13685,Provisao para creditos de liquidacao duvidosa
2017-04-01,4.39,13685,Provisao para creditos de liquidacao duvidosa
2017-05-01,4.49,13685,Provisao para creditos de liquidacao duvidosa
2017-06-01,4.27,13685,Provisao para creditos de liquidacao duvidosa
2017-07-01,4.29,13685,Provisao para creditos de liquidacao duvidosa
2017-08-01,4.36,13685,Provisao para creditos de liquidacao duvidosa
2017-09-01,4.2,13685,Provisao para creditos de liquidacao duvidosa
2017-10-01,4.17,13685,Provisao para creditos de liquidacao duvidosa
2017-11-01,4.12,13685,Provisao para creditos de liquidacao duvidosa
2017-12-01,3.94,13685,Provisao para creditos de liquidacao duvidosa
2018-01-01,4.03,13685,Provisao para creditos de liquidacao duvidosa
2018-02-01,3.95,13685,Provisao para creditos de liquidacao duvidosa
2018-03-01,3.84,13685,Provisao para creditos de liquidacao duvidosa
2018-04-01,3.75,13685,Provisao para creditos de liquidacao duvidosa
2018-05-01,3.69,13685,Provisao para creditos de liquidacao duvidosa
2018-06-01,3.58,13685,Provisao para creditos de liquidacao duvidosa
2018-07-01,3.66,13685,Provisao para creditos de liquidacao duvidosa
2018-08-01,3.57,13685,Provisao para creditos de liquidacao duvidosa
2018-09-01,3.55,13685,Provisao para creditos de liquidacao duvidosa
2018-10-01,3.53,13685,Provisao para creditos de liquidacao duvidosa
2018-11-01,3.4,13685,Provisao para creditos de liquidacao duvidosa
2018-12-01,3.35,13685,Provisao para creditos de liquidacao duvidosa
2019-01-01,3.46,13685,Provisao para creditos de liquidacao duvidosa
2019-02-01,3.35,13685,Provisao para creditos de liquidacao duvidosa
2019-03-01,3.37,13685,Provisao para creditos de liquidacao duvidosa
2019-04-01,3.33,13685,Provisao para creditos de liquidacao duvidosa
2019-05-01,3.34,13685,Provisao para creditos de liquidacao duvidosa
2019-06-01,3.26,13685,Provisao para creditos de liquidacao duvidosa
2019-07-01,3.39,13685,Provisao para creditos de liquidacao duvidosa
2019-08-01,3.45,13685,Provisao para creditos de liquidacao duvidosa
2019-09-01,3.43,13685,Provisao para creditos de liquidacao duvidosa
2019-10-01,3.41,13685,Provisao para creditos de liquidacao duvidosa
2019-11-01,3.34,13685,Provisao para creditos de liquidacao duvidosa
2019-12-01,3.27,13685,Provisao para creditos de liquidacao duvidosa
2020-01-01,3.35,13685,Provisao para creditos de liquidacao duvidosa
2020-02-01,3.44,13685,Provisao para creditos de liquidacao duvidosa
2020-03-01,3.5,13685,Provisao para creditos de liquidacao duvidosa
2020-04-01,3.62,13685,Provisao para creditos de liquidacao duvidosa
2020-05-01,3.61,13685,Provisao para creditos de liquidacao duvidosa
2020-06-01,3.23,13685,Provisao para creditos de liquidacao duvidosa
2020-07-01,3.06,13685,Provisao para creditos de liquidacao duvidosa
2020-08-01,2.85,13685,Provisao para creditos de liquidacao duvidosa
2020-09-01,2.63,13685,Provisao para creditos de liquidacao duvidosa
2020-10-01,2.5,13685,Provisao para creditos de liquidacao duvidosa
2020-11-01,2.39,13685,Provisao para creditos de liquidacao duvidosa
2020-12-01,2.32,13685,Provisao para creditos de liquidacao duvidosa
2021-01-01,2.38,13685,Provisao para creditos de liquidacao duvidosa
2021-02-01,2.36,13685,Provisao para creditos de liquidacao duvidosa
2021-03-01,2.31,13685,Provisao para creditos de liquidacao duvidosa
2021-04-01,2.33,13685,Provisao para creditos de liquidacao duvidosa
2021-05-01,2.41,13685,Provisao para creditos de liquidacao duvidosa
2021-06-01,2.36,13685,Provisao para creditos de liquidacao duvidosa
2021-07-01,2.44,13685,Provisao para creditos de liquidacao duvidosa
2021-08-01,2.46,13685,Provisao para creditos de liquidacao duvidosa
2021-09-01,2.5,13685,Provisao para creditos de liquidacao duvidosa
2021-10-01,2.56,13685,Provisao para creditos de liquidacao duvidosa
2021-11-01,2.62,13685,Provisao para creditos de liquidacao duvidosa
2021-12-01,2.63,13685,Provisao para creditos de liquidacao duvidosa
2022-01-01,2.81,13685,Provisao para creditos de liquidacao duvidosa
2022-02-01,2.82,13685,Provisao para creditos de liquidacao duvidosa
2022-03-01,3.01,13685,Provisao para creditos de liquidacao duvidosa
2022-04-01,3.12,13685,Provisao para creditos de liquidacao duvidosa
2022-05-01,3.23,13685,Provisao para creditos de liquidacao duvidosa
2022-06-01,3.23,13685,Provisao para creditos de liquidacao duvidosa
2022-07-01,3.37,13685,Provisao para creditos de liquidacao duvidosa
2022-08-01,3.45,13685,Provisao para creditos de liquidacao duvidosa
2022-09-01,3.49,13685,Provisao para creditos de liquidacao duvidosa
2022-10-01,3.61,13685,Provisao para creditos de liquidacao duvidosa
2022-11-01,3.62,13685,Provisao para creditos de liquidacao duvidosa
2022-12-01,3.65,13685,Provisao para creditos de liquidacao duvidosa
2023-01-01,3.84,13685,Provisao para creditos de liquidacao duvidosa
2023-02-01,3.91,13685,Provisao para creditos de liquidacao duvidosa
2023-03-01,3.88,13685,Provisao para creditos de liquidacao duvidosa
2023-04-01,4.14,13685,Provisao para creditos de liquidacao duvidosa
2023-05-01,4.26,13685,Provisao para creditos de liquidacao duvidosa
2023-06-01,4.25,13685,Provisao para creditos de liquidacao duvidosa
2023-07-01,4.25,13685,Provisao para creditos de liquidacao duvidosa
2023-08-01,4.25,13685,Provisao para creditos de liquidacao duvidosa
2023-09-01,4.13,13685,Provisao para creditos de liquidacao duvidosa
2023-10-01,4.16,13685,Provisao para creditos de liquidacao duvidosa
2023-11-01,4.06,13685,Provisao para creditos de liquidacao duvidosa
2023-12-01,3.83,13685,Provisao para creditos de liquidacao duvidosa
2024-01-01,3.92,13685,Provisao para creditos de liquidacao duvidosa
2024-02-01,3.91,13685,Provisao para creditos de liquidacao duvidosa
