data,valor,serie,descricao
2015-01-01,7.14,13522,Endividamento das famílias
2015-02-01,7.7,13522,Endividamento das famílias
2015-03-01,8.13,13522,Endividamento das famílias
2015-04-01,8.17,13522,Endividamento das famílias
2015-05-01,8.47,13522,Endividamento das famílias
2015-06-01,8.89,13522,Endividamento das famílias
2015-07-01,9.56,13522,Endividamento das famílias
2015-08-01,9.53,13522,Endividamento das famílias
2015-09-01,9.49,13522,Endividamento das famílias
2015-10-01,9.93,13522,Endividamento das famílias
2015-11-01,10.48,13522,Endividamento das famílias
2015-12-01,10.67,13522,Endividamento das famílias
2016-01-01,10.71,13522,Endividamento das famílias
2016-02-01,10.36,13522,Endividamento das famílias
2016-03-01,9.39,13522,Endividamento das famílias
2016-04-01,9.28,13522,Endividamento das famílias
2016-05-01,9.32,13522,Endividamento das famílias
2016-06-01,8.84,13522,Endividamento das famílias
2016-07-01,8.74,13522,Endividamento das famílias
2016-08-01,8.97,13522,Endividamento das famílias
2016-09-01,8.48,13522,Endividamento das famílias
2016-10-01,7.87,13522,Endividamento das famílias
2016-11-01,6.99,13522,Endividamento das famílias
2016-12-01,6.29,13522,Endividamento das famílias
2017-01-01,5.35,13522,Endividamento das famílias
2017-02-01,4.76,13522,Endividamento das famílias
2017-03-01,4.57,13522,Endividamento das famílias
2017-04-01,4.08,13522,Endividamento das famílias
2017-05-01,3.6,13522,Endividamento das famílias
2017-06-01,3.0,13522,Endividamento das famílias
2017-07-01,2.71,13522,Endividamento das famílias
2017-08-01,2.46,13522,Endividamento das famílias
2017-09-01,2.54,13522,Endividamento das famílias
2017-10-01,2.7,13522,Endividamento das famílias
2017-11-01,2.8,13522,Endividamento das famílias
2017-12-01,2.95,13522,Endividamento das famílias
2018-01-01,2.86,13522,Endividamento das famílias
2018-02-01,2.84,13522,Endividamento das famílias
2018-03-01,2.68,13522,Endividamento das famílias
2018-04-01,2.76,13522,Endividamento das famílias
2018-05-01,2.86,13522,Endividamento das famílias
2018-06-01,4.39,13522,Endividamento das famílias
2018-07-01,4.48,13522,Endividamento das famílias
2018-08-01,4.19,13522,Endividamento das famílias
2018-09-01,4.53,13522,Endividamento das famílias
2018-10-01,4.56,13522,Endividamento das famílias
2018-11-01,4.05,13522,Endividamento das famílias
2018-12-01,3.75,13522,Endividamento das famílias
2019-01-01,3.78,13522,Endividamento das famílias
2019-02-01,3.89,13522,Endividamento das famílias
2019-03-01,4.58,13522,Endividamento das famílias
2019-04-01,4.94,13522,Endividamento das famílias
2019-05-01,4.66,13522,Endividamento das famílias
2019-06-01,3.37,13522,Endividamento das famílias
2019-07-01,3.22,13522,Endividamento das famílias
2019-08-01,3.43,13522,Endividamento das famílias
2019-09-01,2.89,13522,Endividamento das famílias
2019-10-01,2.54,13522,Endividamento das famílias
2019-11-01,3.27,13522,Endividamento das famílias
2019-12-01,4.31,13522,Endividamento das famílias
2020-01-01,4.19,13522,Endividamento das famílias
2020-02-01,4.01,13522,Endividamento das famílias
2020-03-01,3.3,13522,Endividamento das famílias
2020-04-01,2.4,13522,Endividamento das famílias
2020-05-01,1.88,13522,Endividamento das famílias
2020-06-01,2.13,13522,Endividamento das famílias
2020-07-01,2.31,13522,Endividamento das famílias
2020-08-01,2.44,13522,Endividamento das famílias
2020-09-01,3.14,13522,Endividamento das famílias
2020-10-01,3.92,13522,Endividamento das famílias
2020-11-01,4.31,13522,Endividamento das famílias
2020-12-01,4.52,13522,Endividamento das famílias
2021-01-01,4.56,13522,Endividamento das famílias
2021-02-01,5.2,13522,Endividamento das famílias
2021-03-01,6.1,13522,Endividamento das famílias
2021-04-01,6.76,13522,Endividamento das famílias
2021-05-01,8.06,13522,Endividamento das famílias
2021-06-01,8.35,13522,Endividamento das famílias
2021-07-01,8.99,13522,Endividamento das famílias
2021-08-01,9.68,13522,Endividamento das famílias
2021-09-01,10.25,13522,Endividamento das famílias
2021-10-01,10.67,13522,Endividamento das famílias
2021-11-01,10.74,13522,Endividamento das famílias
2021-12-01,10.06,13522,Endividamento das famílias
2022-01-01,10.38,13522,Endividamento das famílias
2022-02-01,10.54,13522,Endividamento das famílias
2022-03-01,11.3,13522,Endividamento das famílias
2022-04-01,12.13,13522,Endividamento das famílias
2022-05-01,11.73,13522,Endividamento das famílias
2022-06-01,11.89,13522,Endividamento das famílias
2022-07-01,10.07,13522,Endividamento das famílias
