data,valor,fonte,indicador
2023-04-01 03:00:00,910660.4,IPEAdata,PIB mensal
2023-05-01 03:00:00,911300.2,IPEAdata,PIB mensal
2023-06-01 03:00:00,905619.3,IPEAdata,PIB mensal
2023-07-01 03:00:00,921215.8,IPEAdata,PIB mensal
2023-08-01 03:00:00,932678.9,IPEAdata,PIB mensal
2023-09-01 03:00:00,915550.7,IPEAdata,PIB mensal
2023-10-01 03:00:00,952789.9,IPEAdata,PIB mensal
2023-11-01 03:00:00,961733.7,IPEAdata,PIB mensal
2023-12-01 03:00:00,950777.7,IPEAdata,PIB mensal
2024-01-01 03:00:00,892017.7,IPEAdata,PIB mensal
2024-02-01 03:00:00,903497.0,IPEAdata,PIB mensal
2024-03-01 03:00:00,969318.0,IPEAdata,PIB mensal
2024-04-01 03:00:00,992723.3,IPEAdata,PIB mensal
2024-05-01 03:00:00,965576.5,IPEAdata,PIB mensal
2024-06-01 03:00:00,976458.9,IPEAdata,PIB mensal
2024-07-01 03:00:00,1018124.5,IPEAdata,PIB mensal
2024-08-01 03:00:00,1004149.6,IPEAdata,PIB mensal
2024-09-01 03:00:00,993661.8,IPEAdata,PIB mensal
2024-10-01 03:00:00,1044783.5,IPEAdata,PIB mensal
2024-11-01 03:00:00,1019462.8,IPEAdata,PIB mensal
2024-12-01 03:00:00,999476.9,IPEAdata,PIB mensal
