data,valor,serie,descricao
2015-01-01,4.5,13521,Familias com dividas em atraso pct
2016-01-01,4.5,13521,Familias com dividas em atraso pct
2017-01-01,4.5,13521,Familias com dividas em atraso pct
2018-01-01,4.5,13521,Familias com dividas em atraso pct
2019-01-01,4.25,13521,Familias com dividas em atraso pct
2020-01-01,4.0,13521,Familias com dividas em atraso pct
2021-01-01,3.75,13521,Familias com dividas em atraso pct
2022-01-01,3.5,13521,Familias com dividas em atraso pct
2023-01-01,3.25,13521,Familias com dividas em atraso pct
2024-01-01,3.0,13521,Familias com dividas em atraso pct
